Stock;Price;P/L;P/VP;PSR;D.Yield;P/Ativos;P/Cap. Giro;P/EBIT;P/ACL;EV/EBIT;EV/EBITDA;Marg. EBIT;Marg. Liq.;Liq. Corr.;ROIC;ROE;Liq. L2M;Pat. Liq.;Div. Brut./Pat. Liq.;CRL L5A
CEAB3;5.51;57.89;0.59;0.272;0;0.195;1.07;4.93;-0.97;7.1;2.32;0.0552;0.0047;1.63;0.0528;0.0102;25371100;2878200000;0.59;0.0849
PETZ3;5.84;65.65;1.45;0.875;0.0048;0.681;3.8;13.59;-3.74;13.32;5.3;0.0644;0.0133;2.05;0.0631;0.0221;108046000;1857470000;0.24;0.317
LPSB3;2.6;68.98;1.91;2.01;0.008;0.997;10.52;11.5;-4.08;9.99;6.67;0.1748;0.0966;1.63;0.1011;0.0277;296393;200946000;0;0.1511
OFSA3;22.81;71.05;1.85;1.228;0.0279;0.946;2.45;8.91;7.23;9.93;7.96;0.1378;0.0173;2.66;0.1415;0.0261;246644;664399000;0.61;0.1267
USIM6;16.31;77.65;0.86;0.676;0.0202;0.514;1.44;9.66;3.7;10.11;6.93;0.07;0.0199;3.97;0.0654;0.0111;75.86;23709800000;0.25;0.2639
SHOW3;2.63;79.26;1.2;0.441;0;0.219;9.06;2.88;-2.48;3.22;2.95;0.1535;0.0163;1.03;0.1463;0.0151;473899;147658000;1.02;-0.0373
PTBL3;6.18;105.5;2.33;0.409;0.034;0.285;8.76;5.33;-0.63;10.57;6.21;0.0767;0.0039;1.08;0.0736;0.0221;11116600;373896000;3.38;0.2274
ELET5;86.01;116.5;1.78;5.753;0;0.753;14.27;22.8;-1.83;27.07;19.32;0.2524;0.0448;1.47;0.0361;0.0153;1539.88;1.11E+16;0.51;0.1714
BALM3;10.25;125.56;0.71;0.55;0.0211;0.405;0.88;3.69;1.45;2.7;2.31;0.1492;-0.0095;2.92;0.1451;0.0056;3319.19;142407000;0.17;0.04
BALM4;11.64;142.59;0.8;0.625;0.0185;0.46;1;4.19;1.64;3.2;2.73;0.1492;-0.0095;2.92;0.1451;0.0056;8652.35;142407000;0.17;0.04
SQIA3;27.46;2753.58;3.77;3.678;0.002;1.505;27.14;43.38;-3.74;47.18;16.53;0.0848;0.0045;1.44;0.0404;0.0014;30019300;639749000;0.67;0.4625
